Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
-12.95,24.37,Flood,Zambia,Africa,2007,4.0,1400000.0,
2.19,103.37,Flood,Malaysia,Asia,2007,17.0,137533.0,605000.0
-8.87,13.36,Flood,Angola,Africa,2007,105.0,40000.0,
-3.14,30.4,Flood,Burundi,Africa,2007,4.0,23000.0,
-10.62,32.59,Flood,Zambia,Africa,2007,,118755.0,
-35.35,173.98,Storm,New Zealand,Oceania,2007,,300.0,
36.52,70.6,Flood,Afghanistan,Asia,2007,23.0,2950.0,
-31.99,-59.12,Flood,Argentina,Americas,2007,5.0,70000.0,10000.0
7.44,99.65,Flood,Thailand,Asia,2007,38.0,,
27.2,116.14,Flood,China,Asia,2007,,250000.0,13000.0
19.55,-71.05,Flood,Dominican Republic,Americas,2007,9.0,16000.0,
43.3,-0.47,Storm,France,Europe,2007,1.0,900.0,
17.21,100.34,Flood,Thailand,Asia,2007,,1000.0,
36.29,68.85,Flood,Afghanistan,Asia,2007,10.0,645.0,
52.52,-0.76,Flood,United Kingdom of Great Britain and Northern Ireland,Europe,2007,1.0,200.0,448000.0
20.05,81.86,Flood,India,Asia,2007,29.0,50000.0,
34.27,71.87,Flood,Pakistan,Asia,2007,130.0,2000.0,
42.23,-74.95,Flood,United States of America,Americas,2007,4.0,120.0,
34.98,72.23,Flood,Pakistan,Asia,2007,22.0,500.0,
31.69,130.9,Storm,Japan,Asia,2007,5.0,40012.0,60000.0
5.45,37.12,Flood,Ethiopia,Africa,2007,,5800.0,
11.45,-4.39,Flood,Burkina Faso,Africa,2007,52.0,121043.0,
23.92,91.23,Flood,Bangladesh,Asia,2007,1110.0,13771380.0,100000.0
23.92,91.23,Flood,India,Asia,2007,,,
43.09,88.21,Flood,China,Asia,2007,29.0,350000.0,80000.0
34.53,66.13,Flood,Afghanistan,Asia,2007,9.0,2500.0,
14.54,-61.02,Storm,Mexico,Americas,2007,9.0,140000.0,600000.0
14.64,-61.02,Storm,Martinique,Americas,2007,1.0,6.0,300000.0
27.0,119.91,Storm,Taiwan (Province of China),Asia,2007,,1812.0,25000.0
14.62,-83.64,Storm,Guatemala,Americas,2007,,3905.0,
46.76,25.6,Flood,Romania,Europe,2007,2.0,1400.0,
15.47,-13.97,Flood,Mauritania,Africa,2007,1.0,500.0,
6.51,-10.58,Flood,Liberia,Africa,2007,1.0,17000.0,
15.08,45.73,Flood,Yemen,Asia,2007,50.0,,
13.28,105.88,Flood,Cambodia,Asia,2007,2.0,19000.0,1000.0
10.29,11.75,Flood,Nigeria,Africa,2007,68.0,50000.0,
2.98,45.43,Flood,Somalia,Africa,2007,4.0,8000.0,
14.62,-83.64,Storm,Nicaragua,Americas,2007,177.0,188726.0,
-1.68,29.42,Flood,Rwanda,Africa,2007,20.0,4000.0,
-30.25,-52.67,Flood,Brazil,Americas,2007,4.0,4000.0,
36.95,9.71,Flood,Tunisia,Africa,2007,16.0,5000.0,
10.98,-85.44,Flood,Costa Rica,Americas,2007,19.0,12000.0,80000.0
10.98,-85.44,Flood,Honduras,Americas,2007,5.0,15000.0,
17.67,-92.41,Flood,Mexico,Americas,2007,22.0,1600000.0,3000000.0
11.01,105.51,Flood,Viet Nam,Asia,2007,3.0,280000.0,
41.74,25.62,Flood,Bulgaria,Europe,2007,2.0,60.0,
-9.03,149.22,Storm,Papua New Guinea,Oceania,2007,172.0,162140.0,
42.46,20.8,Flood,Montenegro,Europe,2007,,1086.0,
36.75,2.96,Flood,Algeria,Africa,2007,14.0,1203.0,
-16.66,31.24,Flood,Zimbabwe,Africa,2007,3.0,15000.0,
-7.54,111.33,Flood,Indonesia,Asia,2007,127.0,269515.0,
3.89,102.93,Flood,Thailand,Asia,2007,3.0,65000.0,
-19.06,34.36,Flood,Mozambique,Africa,2007,20.0,113535.0,100000.0
-17.66,-65.3,Flood,Bolivia (Plurinational State of),Americas,2007,75.0,485024.0,500000.0
-18.69,46.9,Storm,Madagascar,Africa,2008,93.0,524153.0,60000.0
-6.8,111.06,Flood,Indonesia,Asia,2008,11.0,3500.0,
-5.36,-41.68,Flood,Brazil,Americas,2008,36.0,190000.0,360000.0
-3.38,38.17,Flood,Kenya,Africa,2008,,700.0,
-29.67,31.09,Flood,South Africa,Africa,2008,11.0,4000.0,1264.0
13.16,122.6,Storm,Philippines,Asia,2008,644.0,4785460.0,284694.0
18.46,-71.69,Storm,Haiti,Americas,2008,74.0,125050.0,
53.26,-1.8,Flood,Iran (Islamic Republic of),Asia,2008,19.0,200.0,
53.26,-1.8,Flood,United Kingdom of Great Britain and Northern Ireland,Europe,2008,8.0,3000.0,50000.0
21.02,90.21,Flood,Bangladesh,Asia,2008,12.0,615638.0,
39.24,44.69,Flood,Iran (Islamic Republic of),Asia,2008,3.0,1280.0,
15.86,-89.28,Flood,Belize,Americas,2008,1.0,38000.0,9697.0
33.73,-4.77,Flood,Morocco,Africa,2008,30.0,20000.0,
20.74,106.32,Flood,Viet Nam,Asia,2008,99.0,600000.0,479000.0
0.83,43.06,Flood,Ethiopia,Africa,2008,11.0,23831.0,
